"CUSIP.NO";"X";"ISSUER.NAME";"ISSUER.DESCRIPTION";"STATUS"
"G0457F 10 7";"*";"ARCOS DORADOS HOLDINGS INC";"SHS CLASS -A -";""
"G0457F 90 7";"";"ARCOS DORADOS HOLDINGS INC";"CALL";""
"G0457F 95 7";"";"ARCOS DORADOS HOLDINGS INC";"PUT";""
"G0464B 10 7";"*";"ARGO GROUP INTL HLDGS LTD";"COM";""
"G0464B 90 7";"";"ARGO GROUP INTL HLDGS LTD";"CALL";""
"G0464B 95 7";"";"ARGO GROUP INTL HLDGS LTD";"PUT";""
"G0535E 10 6";"";"ASIA PACIFIC WIRE & CABLE CO";"ORD";""
"G0551A 10 3";"*";"ARRIS INTERNATIONAL PLC";"SHS";"DELETED"
"G0551A 90 3";"";"ARRIS INTERNATIONAL PLC";"CALL";"DELETED"
"G0551A 95 3";"";"ARRIS INTERNATIONAL PLC";"PUT";"DELETED"
"G0585R 10 6";"*";"ASSURED GUARANTY LTD";"COM";""
"G0585R 90 6";"";"ASSURED GUARANTY LTD";"CALL";""
"G0585R 95 6";"";"ASSURED GUARANTY LTD";"PUT";""
"G0602B 10 0";"";"ATIF HOLDINGS LIMITED";"SHS";"ADDED"
"G06207 11 5";"*";"ATLAS FINANCIAL HOLDINGS INC";"SHS NEW";""
"G06207 90 5";"";"ATLAS FINANCIAL HOLDINGS INC";"CALL";""
"G06207 95 5";"";"ATLAS FINANCIAL HOLDINGS INC";"PUT";""
"G06242 10 4";"*";"ATLASSIAN CORP PLC";"CL A";""
"G06242 90 4";"";"ATLASSIAN CORP PLC";"CALL";""
"G06242 95 4";"";"ATLASSIAN CORP PLC";"PUT";""
"G0684D 10 7";"*";"ATHENE HLDG LTD";"CL A";""
"G0684D 90 7";"";"ATHENE HLDG LTD";"CALL";""
"G0684D 95 7";"";"ATHENE HLDG LTD";"PUT";""
"G0692U 10 9";"*";"AXIS CAPITAL HOLDINGS LTD";"SHS";""
"G0692U 90 9";"";"AXIS CAPITAL HOLDINGS LTD";"CALL";""
"G0692U 95 9";"";"AXIS CAPITAL HOLDINGS LTD";"PUT";""
"G07025 10 2";"";"AURIS MEDICAL HOLDING LTD";"COM";"DELETED"
"G07025 20 1";"";"AURIS MEDICAL HOLDING LTD";"SHS";"ADDED"
"G0750C 10 8";"*";"AXALTA COATING SYS LTD";"COM";""
"G0750C 90 8";"";"AXALTA COATING SYS LTD";"CALL";""
"G0750C 95 8";"";"AXALTA COATING SYS LTD";"PUT";""
"G0750W 10 4";"*";"AXOVANT SCIENCES LTD";"COM";"DELETED"
"G0750W 90 4";"";"AXOVANT SCIENCES LTD";"CALL";"DELETED"
"G0750W 95 4";"";"AXOVANT SCIENCES LTD";"PUT";"DELETED"
"G0750W 20 3";"*";"AXOVANT GENE THERAPIES LTD";"COM";"ADDED"
"G0750W 90 3";"";"AXOVANT GENE THERAPIES LTD";"CALL";"ADDED"
"G0750W 95 3";"";"AXOVANT GENE THERAPIES LTD";"PUT";"ADDED"
"G0751N 10 3";"*";"ATLANTICA YIELD PLC";"SHS";""
"G0751N 90 3";"";"ATLANTICA YIELD PLC";"CALL";""
"G0751N 95 3";"";"ATLANTICA YIELD PLC";"PUT";""
"G0772R 20 8";"";"BANK OF NT BUTTERFIELD&SON L";"SHS NEW";""
"G0891M AA 4";"";"BAOZUN INC";"DEBT  1.625% 5/0";"ADDED"
"G10830 10 0";"";"BEYONDSPRING INC";"SHS";""
"G1117K 10 6";"";"BIOCERES CROP SOLUTIONS CORP";"*W EXP 03/14/202";""
"G1117K 11 4";"";"BIOCERES CROP SOLUTIONS CORP";"SHS";""
"G11196 10 5";"*";"BIOHAVEN PHARMACTL HLDG CO L";"COM";""
"G11196 90 5";"";"BIOHAVEN PHARMACTL HLDG CO L";"CALL";""
"G11196 95 5";"";"BIOHAVEN PHARMACTL HLDG CO L";"PUT";""
"G1142P 10 4";"";"BISON CAP ACQUISITION CORP";"ORD SHS";"DELETED"
"G1142P 11 2";"";"BISON CAP ACQUISITION CORP";"*W EXP 06/20/202";"DELETED"
"G1142P 12 0";"";"BISON CAP ACQUISITION CORP";"UNIT 99/99/9999T";"DELETED"
"G1142P 13 8";"";"BISON CAP ACQUISITION CORP";"RIGHT 03/20/2019";"DELETED"
"G1151C 10 1";"*";"ACCENTURE PLC IRELAND";"SHS CLASS A";""
"G1151C 90 1";"";"ACCENTURE PLC IRELAND";"CALL";""
"G1151C 95 1";"";"ACCENTURE PLC IRELAND";"PUT";""
"G1154H 10 7";"*";"BELMOND LTD";"CL A";"DELETED"
"G1154H 90 7";"";"BELMOND LTD";"CALL";"DELETED"
"G1154H 95 7";"";"BELMOND LTD";"PUT";"DELETED"
"G1190F 10 7";"";"BLUE CAP REINS HLDGS LTD";"COM";""
"G1288E 10 3";"";"BIQI INTL HLDGS CORP";"SHS";"ADDED"
"G1466B 10 3";"";"BORQS TECHNOLOGIES INC";"SHS";""
"G14838 10 9";"*";"MIMECAST LTD";"ORD SHS";""
"G14838 90 9";"";"MIMECAST LTD";"CALL";""
"G14838 95 9";"";"MIMECAST LTD";"PUT";""
"G16234 10 9";"*";"BROOKFIELD BUSINESS PARTNERS";"UNIT LTD LP";""
"G16234 90 9";"";"BROOKFIELD BUSINESS PARTNERS";"CALL";""
"G16234 95 9";"";"BROOKFIELD BUSINESS PARTNERS";"PUT";""
"G16249 10 7";"*";"BROOKFIELD PROPERTY PARTRS L";"UNIT LTD PARTN";""
"G16249 90 7";"";"BROOKFIELD PROPERTY PARTRS L";"CALL";""
"G16249 95 7";"";"BROOKFIELD PROPERTY PARTRS L";"PUT";""
"G16252 10 1";"*";"BROOKFIELD INFRAST PARTNERS";"LP INT UNIT";""
"G16252 90 1";"";"BROOKFIELD INFRAST PARTNERS";"CALL";""
"G16252 95 1";"";"BROOKFIELD INFRAST PARTNERS";"PUT";""
"G16258 10 8";"*";"BROOKFIELD RENEWABLE PARTNER";"PARTNERSHIP UNIT";""
"G16258 90 8";"";"BROOKFIELD RENEWABLE PARTNER";"CALL";""
"G16258 95 8";"";"BROOKFIELD RENEWABLE PARTNER";"PUT";""
"G1644T 10 9";"";"BRIGHTSPHERE INVESTMNT GRP P";"SHS";""
"G16962 10 5";"*";"BUNGE LIMITED";"COM";""
"G16962 90 5";"";"BUNGE LIMITED";"CALL";""
"G16962 95 5";"";"BUNGE LIMITED";"PUT";""
"G1757E 11 3";"";"CALEDONIA MNG CORP PLC";"SHS NEW";""
"G17766 10 9";"";"CAMBIUM NETWORKS CORP";"SHS";"ADDED"
"G1890L 10 7";"*";"CAPRI HOLDINGS LIMITED";"SHS";""
"G1890L 90 7";"";"CAPRI HOLDINGS LIMITED";"CALL";""
"G1890L 95 7";"";"CAPRI HOLDINGS LIMITED";"PUT";""
"G18920 10 1";"";"CAPITOL INVT CORP IV";"CL A ORD";""
"G18920 11 9";"";"CAPITOL INVT CORP IV";"UNIT 99/99/9999";""
"G18920 12 7";"";"CAPITOL INVT CORP IV";"*W EXP 01/01/202";""
"G1991C 10 5";"*";"CARDTRONICS PLC";"SHS CL A";""
"G1991C 90 5";"";"CARDTRONICS PLC";"CALL";""
"G1991C 95 5";"";"CARDTRONICS PLC";"PUT";""
"G1992S 10 9";"*";"CISION LTD";"SHS";""
"G1992S 90 9";"";"CISION LTD";"CALL";""
"G1992S 95 9";"";"CISION LTD";"PUT";""
"G20045 20 2";"*";"CENTRAL EUROPEAN MEDIA ENTRP";"CL A NEW";""
"G20045 90 2";"";"CENTRAL EUROPEAN MEDIA ENTRP";"CALL";""
"G20045 95 2";"";"CENTRAL EUROPEAN MEDIA ENTRP";"PUT";""
"G21082 10 5";"*";"CHINA YUCHAI INTL LTD";"COM";""
"G21082 90 5";"";"CHINA YUCHAI INTL LTD";"CALL";""
"G21082 95 5";"";"CHINA YUCHAI INTL LTD";"PUT";""
"G2110U 10 9";"";"CHINA NATURAL RESOURCES INC";"COM";""
"G2113X 13 4";"";"CHINA CERAMICS CO LTD";"SHS NEW";""
"G2118P 10 2";"";"CHINA CUST RELATIONS CNTR IN";"COM";""
"G2120A 10 1";"";"CHINA INTERNET NATIONWIDE FI";"SHS";""
"G21225 10 0";"";"CHINA ADVANCED CONSTR MATLS";"SHS";""
"G21515 10 4";"*";"CHINA BIOLOGIC PRODS HLDGS I";"COM";""
"G21515 90 4";"";"CHINA BIOLOGIC PRODS HLDGS I";"CALL";""
"G21515 95 4";"";"CHINA BIOLOGIC PRODS HLDGS I";"PUT";""
"G2161P 10 8";"";"CHINA SXT PHARMACEUTICALS IN";"ORD SHS";""
"G21612 10 9";"";"CHINA LENDING CORP";"SHS";""
"G21810 10 9";"";"CLARIVATE ANALYTICS PLC";"COM";"ADDED"
"G21810 11 7";"";"CLARIVATE ANALYTICS PLC";"*W EXP 11/09/201";"ADDED"
"G22707 10 6";"";"COLLIER CREEK HOLDINGS";"COM CL A";""
"G22707 11 4";"";"COLLIER CREEK HOLDINGS";"*W EXP 99/99/999";""
"G22707 12 2";"";"COLLIER CREEK HOLDINGS";"UNIT 99/99/9999";""
"G2345N 10 2";"";"CM SEVEN STAR ACQUISITION CO";"SHS";"DELETED"
"G2345N 11 0";"";"CM SEVEN STAR ACQUISITION CO";"*W EXP 08/21/202";"DELETED"
"G2345N 12 8";"";"CM SEVEN STAR ACQUISITION CO";"UNIT 08/21/2022";"DELETED"
"G2345N 13 6";"";"CM SEVEN STAR ACQUISITION CO";"RIGHT 08/21/2022";"DELETED"
"G23773 10 7";"*";"CONSOLIDATED WATER CO INC";"ORD";""
"G23773 90 7";"";"CONSOLIDATED WATER CO INC";"CALL";""
"G23773 95 7";"";"CONSOLIDATED WATER CO INC";"PUT";""
"G2379F 10 8";"";"CONSTELLATION ALPHA CAP CORP";"SHS";""
"G2379F 11 6";"";"CONSTELLATION ALPHA CAP CORP";"*W EXP 03/23/202";""
"G2379F 12 4";"";"CONSTELLATION ALPHA CAP CORP";"UNIT 99/99/9999";""
"G2379F 13 2";"";"CONSTELLATION ALPHA CAP CORP";"RIGHT 99/99/9999";""
"G2519Y 10 8";"*";"CREDICORP LTD";"COM";""
"G2519Y 90 8";"";"CREDICORP LTD";"CALL";""
"G2519Y 95 8";"";"CREDICORP LTD";"PUT";""
"G25343 10 7";"*";"COSAN LTD";"SHS A";""
"G25343 90 7";"";"COSAN LTD";"CALL";""
"G25343 95 7";"";"COSAN LTD";"PUT";""
"G25839 10 4";"*";"COCA COLA EUROPEAN PARTNERS";"SHS";""
"G25839 90 4";"";"COCA COLA EUROPEAN PARTNERS";"CALL";""
"G25839 95 4";"";"COCA COLA EUROPEAN PARTNERS";"PUT";""
"G2692M 10 3";"";"DD3 ACQUISITION CORP";"SHS";""
"G2692M 11 1";"";"DD3 ACQUISITION CORP";"*W EXP 10/20/202";""
"G2692M 12 9";"";"DD3 ACQUISITION CORP";"UNIT 10/12/2023";""
"G2709G 10 7";"*";"DELPHI TECHNOLOGIES PLC";"SHS";""
"G2709G 90 7";"";"DELPHI TECHNOLOGIES PLC";"CALL";""
"G2709G 95 7";"";"DELPHI TECHNOLOGIES PLC";"PUT";""
"G2717B 10 8";"*";"CUSHMAN WAKEFIELD PLC";"SHS";""
"G2717B 90 8";"";"CUSHMAN WAKEFIELD PLC";"CALL";""
"G2717B 95 8";"";"CUSHMAN WAKEFIELD PLC";"PUT";""
"G27358 10 3";"*";"DESPEGAR COM CORP";"ORD SHS";""
"G27358 90 3";"";"DESPEGAR COM CORP";"CALL";""
"G27358 95 3";"";"DESPEGAR COM CORP";"PUT";""
"G2788T 10 3";"";"DOGNESS INTERNATIONAL CORP";"COM CL A";""
"G28365 10 7";"";"DRAGON VICTORY INTL LTD";"SHS";""
"G29183 10 3";"*";"EATON CORP PLC";"SHS";""
"G29183 90 3";"";"EATON CORP PLC";"CALL";""
"G29183 95 3";"";"EATON CORP PLC";"PUT";""
"G2956M 10 4";"";"8I ENTERPRISES ACQUISITIN CO";"SHS";"ADDED"
"G2956M 11 2";"";"8I ENTERPRISES ACQUISITIN CO";"*W EXP 10/29/202";"ADDED"
"G2956M 12 0";"";"8I ENTERPRISES ACQUISITIN CO";"RIGHT 10/29/2020";"ADDED"
"G2956M 13 8";"";"8I ENTERPRISES ACQUISITIN CO";"UNIT 99/99/9999";""
"G30401 10 6";"*";"ENDO INTL PLC";"SHS";""
"G30401 90 6";"";"ENDO INTL PLC";"CALL";""
"G30401 95 6";"";"ENDO INTL PLC";"PUT";""
"G3075P 10 1";"";"ENSTAR GROUP LIMITED";"SHS";""
"G31249 10 8";"";"ESTABLISHMENT LABS HLDGS INC";"COM";""
"G3156P 10 3";"*";"ASA GOLD AND PRECIOUS MTLS L";"SHS";""
"G3156P 90 3";"";"ASA GOLD AND PRECIOUS MTLS L";"CALL";""
"G3156P 95 3";"";"ASA GOLD AND PRECIOUS MTLS L";"PUT";""
"G3157S 10 6";"*";"ENSCO PLC";"SHS CLASS A";"DELETED"
"G3157S 90 6";"";"ENSCO PLC";"CALL";"DELETED"
"G3157S 95 6";"";"ENSCO PLC";"PUT";"DELETED"
"G31642 10 4";"";"CLPS INCORPORATION";"COM";""
"G3165V 10 9";"";"ARYA SCIENCES ACQUISITION CO";"SHS CL A";""
"G3165V 11 7";"";"ARYA SCIENCES ACQUISITION CO";"UNIT 10/04/2023";""
"G3165V 12 5";"";"ARYA SCIENCES ACQUISITION CO";"*W EXP 10/10/202";""
"G3166L 10 0";"*";"ENSCO ROWAN PLC";"SHS CLASS A";"ADDED"
"G3166L 90 0";"";"ENSCO ROWAN PLC";"CALL";"ADDED"
"G3166L 95 0";"";"ENSCO ROWAN PLC";"PUT";"ADDED"
"G3198U 10 2";"*";"ESSENT GROUP LTD";"COM";""
"G3198U 90 2";"";"ESSENT GROUP LTD";"CALL";""
"G3198U 95 2";"";"ESSENT GROUP LTD";"PUT";""
"G32030 12 7";"";"EURO TECH HOLDINGS CO LTD";"SHS NEW";""
"G3206V 10 0";"";"ESTRE AMBIENTAL INC";"SHS";""
"G3206V 11 8";"";"ESTRE AMBIENTAL INC";"*W EXP 12/21/202";""
"G3223R 10 8";"*";"EVEREST RE GROUP LTD";"COM";""
"G3223R 90 8";"";"EVEREST RE GROUP LTD";"CALL";""
"G3223R 95 8";"";"EVEREST RE GROUP LTD";"PUT";""
"G3323L 10 0";"*";"FABRINET";"SHS";""
"G3323L 90 0";"";"FABRINET";"CALL";""
"G3323L 95 0";"";"FABRINET";"PUT";""
"G33277 10 7";"";"FARMMI INC";"SHS";""
"G33856 10 8";"*";"FERROGLOBE PLC";"SHS";""
"G33856 90 8";"";"FERROGLOBE PLC";"CALL";""
"G33856 95 8";"";"FERROGLOBE PLC";"PUT";""
"G3402M 10 2";"*";"FGL HLDGS";"ORD SHS";""
"G3402M 90 2";"";"FGL HLDGS";"CALL";""
"G3402M 95 2";"";"FGL HLDGS";"PUT";""
"G3402M 11 0";"";"FGL HLDGS";"*W EXP 11/30/202";""
"G35006 10 8";"";"ALBERTON ACQUISITION CORP";"ORD SHS";""
"G35006 11 6";"";"ALBERTON ACQUISITION CORP";"UNIT 04/22/2020";""
"G35006 12 4";"";"ALBERTON ACQUISITION CORP";"*W EXP 04/26/202";""
"G35006 13 2";"";"ALBERTON ACQUISITION CORP";"RIGHT 10/04/2020";""
"G35947 20 2";"";"FLEX LNG LTD";"SHS";"ADDED"
"G36738 10 5";"*";"FRESH DEL MONTE PRODUCE INC";"ORD";""
"G36738 90 5";"";"FRESH DEL MONTE PRODUCE INC";"CALL";""
"G36738 95 5";"";"FRESH DEL MONTE PRODUCE INC";"PUT";""
"G3682E 19 2";"*";"FRONTLINE LTD";"SHS NEW";""
"G3682E 90 2";"";"FRONTLINE LTD";"CALL";""
"G3682E 95 2";"";"FRONTLINE LTD";"PUT";""
"G3704F 11 0";"";"FUWEI FILMS HLDGS CO LTD";"SHS NEW";""
"G3729B 10 2";"";"FULING GLOBAL INC";"SHS";""
"G37585 10 9";"*";"GASLOG LTD";"SHS";""
"G37585 90 9";"";"GASLOG LTD";"CALL";""
"G37585 95 9";"";"GASLOG LTD";"PUT";""
"G3788M 11 4";"*";"EROS INTL PLC";"SHS NEW";""
"G3788M 90 4";"";"EROS INTL PLC";"CALL";""
"G3788M 95 4";"";"EROS INTL PLC";"PUT";""
"G38327 10 5";"*";"GEOPARK LTD";"USD SHS";""
"G38327 90 5";"";"GEOPARK LTD";"CALL";""
"G38327 95 5";"";"GEOPARK LTD";"PUT";""
"G3902L AA 7";"";"GDS HLDGS LTD";"DEBT  2.000% 6/0";"DELETED"
"G39108 10 8";"*";"GATES INDUSTRIAL CORPRATIN P";"ORD SHS";""
"G39108 90 8";"";"GATES INDUSTRIAL CORPRATIN P";"CALL";""
"G39108 95 8";"";"GATES INDUSTRIAL CORPRATIN P";"PUT";""
"G3922B 10 7";"*";"GENPACT LIMITED";"SHS";""
"G3922B 90 7";"";"GENPACT LIMITED";"CALL";""
"G3922B 95 7";"";"GENPACT LIMITED";"PUT";""
"G3933F 10 5";"*";"GLOBAL INDTY LTD CAYMAN";"USD CL A SHS";""
"G3933F 90 5";"";"GLOBAL INDTY LTD CAYMAN";"CALL";""
"G3933F 95 5";"";"GLOBAL INDTY LTD CAYMAN";"PUT";""
"G39342 10 3";"*";"GLOBAL CORD BLOOD CORPORATIO";"SHS";""
"G39342 90 3";"";"GLOBAL CORD BLOOD CORPORATIO";"CALL";""
"G39342 95 3";"";"GLOBAL CORD BLOOD CORPORATIO";"PUT";""
"G39637 20 5";"*";"GOLDEN OCEAN GROUP LTD";"SHS NEW";""
"G39637 90 5";"";"GOLDEN OCEAN GROUP LTD";"CALL";""
"G39637 95 5";"";"GOLDEN OCEAN GROUP LTD";"PUT";""
"G4027R 10 4";"";"GOLDEN BULL LTD";"SHS";""
"G4095J 10 9";"*";"GREENLIGHT CAPITAL RE LTD";"CLASS A";""
"G4095J 90 9";"";"GREENLIGHT CAPITAL RE LTD";"CALL";""
"G4095J 95 9";"";"GREENLIGHT CAPITAL RE LTD";"PUT";""
"G40981 10 5";"";"GREENLAND ACQUISITIN CORPORA";"*W EXP 03/03/202";""
"G40981 11 3";"";"GREENLAND ACQUISITIN CORPORA";"RIGHT 04/27/2025";""
"G40981 12 1";"";"GREENLAND ACQUISITIN CORPORA";"UNIT 03/03/2025";""
"G40981 13 9";"";"GREENLAND ACQUISITIN CORPORA";"SHS";""
"G4388N 10 6";"*";"HELEN OF TROY CORP LTD";"COM";""
"G4388N 90 6";"";"HELEN OF TROY CORP LTD";"CALL";""
"G4388N 95 6";"";"HELEN OF TROY CORP LTD";"PUT";""
"G4412G 10 1";"*";"HERBALIFE NUTRITION LTD";"COM SHS";""
"G4412G 90 1";"";"HERBALIFE NUTRITION LTD";"CALL";""
"G4412G 95 1";"";"HERBALIFE NUTRITION LTD";"PUT";""
"G4418R 10 1";"";"HEBRON TECHNOLOGY CO LTD";"COM CLASS A";""
"G4474Y 21 4";"*";"JANUS HENDERSON GROUP PLC";"ORD SHS";""
"G4474Y 90 4";"";"JANUS HENDERSON GROUP PLC";"CALL";""
"G4474Y 95 4";"";"JANUS HENDERSON GROUP PLC";"PUT";""
"G4481U 10 6";"";"HIGHWAY HLDGS LTD";"ORD";""
"G4511M 10 8";"*";"HERMITAGE OFFSHORE SERVICE L";"SHS";"ADDED"
"G4511M 90 8";"";"HERMITAGE OFFSHORE SERVICE L";"CALL";"ADDED"
"G4511M 95 8";"";"HERMITAGE OFFSHORE SERVICE L";"PUT";"ADDED"
"G45667 10 5";"*";"HOLLYSYS AUTOMATION TECHNOLO";"SHS";""
"G45667 90 5";"";"HOLLYSYS AUTOMATION TECHNOLO";"CALL";""
"G45667 95 5";"";"HOLLYSYS AUTOMATION TECHNOLO";"PUT";""
"G4603R 10 6";"";"HL ACQUISITIONS CORP";"SHS";""
"G4603R 11 4";"";"HL ACQUISITIONS CORP";"UNIT 06/21/2023";""
"G4603R 12 2";"";"HL ACQUISITIONS CORP";"*W EXP 06/21/202";""
"G4603R 13 0";"";"HL ACQUISITIONS CORP";"RIGHT 07/17/2023";""
"G4617B 10 5";"*";"HORIZON PHARMA PLC";"SHS";"DELETED"
"G4617B 90 5";"";"HORIZON PHARMA PLC";"CALL";"DELETED"
"G4617B 95 5";"";"HORIZON PHARMA PLC";"PUT";"DELETED"
"G46188 10 1";"*";"HORIZON THERAPEUTICS PUB LTD";"SHS";"ADDED"
"G46188 90 1";"";"HORIZON THERAPEUTICS PUB LTD";"CALL";"ADDED"
"G46188 95 1";"";"HORIZON THERAPEUTICS PUB LTD";"PUT";"ADDED"
"G46408 10 3";"*";"HUDSON LTD";"COM CL A";""
"G46408 90 3";"";"HUDSON LTD";"CALL";""
"G46408 95 3";"";"HUDSON LTD";"PUT";""
"G4705A 10 0";"*";"ICON PLC";"SHS";""
"G4705A 90 0";"";"ICON PLC";"CALL";""
"G4705A 95 0";"";"ICON PLC";"PUT";""
"G4740B 10 5";"*";"ICHOR HOLDINGS";"SHS";""
"G4740B 90 5";"";"ICHOR HOLDINGS";"CALL";""
"G4740B 95 5";"";"ICHOR HOLDINGS";"PUT";""
"G47567 10 5";"*";"IHS MARKIT LTD";"SHS";""
"G47567 90 5";"";"IHS MARKIT LTD";"CALL";""
"G47567 95 5";"";"IHS MARKIT LTD";"PUT";""
"G47791 10 1";"*";"INGERSOLL-RAND PLC";"SHS";""
"G47791 90 1";"";"INGERSOLL-RAND PLC";"CALL";""
"G47791 95 1";"";"INGERSOLL-RAND PLC";"PUT";""
"G4863A 10 8";"*";"INTERNATIONAL GAME TECHNOLOG";"SHS USD";""
"G4863A 90 8";"";"INTERNATIONAL GAME TECHNOLOG";"CALL";""
"G4863A 95 8";"";"INTERNATIONAL GAME TECHNOLOG";"PUT";""
"G48833 10 0";"*";"WEATHERFORD INTL PLC";"ORD SHS";"DELETED"
"G48833 90 0";"";"WEATHERFORD INTL PLC";"CALL";"DELETED"
"G48833 95 0";"";"WEATHERFORD INTL PLC";"PUT";"DELETED"
"G4887W 10 2";"";"WEALTHBRIDGE ACQUISITION LTD";"UNIT 99/99/9999";""
"G4887W 11 0";"";"WEALTHBRIDGE ACQUISITION LTD";"SHS";""
"G4887W 12 8";"";"WEALTHBRIDGE ACQUISITION LTD";"*W EXP 01/31/202";""
"G4887W 13 6";"";"WEALTHBRIDGE ACQUISITION LTD";"RIGHT 11/02/2023";""
"G491BT 10 8";"*";"INVESCO LTD";"SHS";""
"G491BT 90 8";"";"INVESCO LTD";"CALL";""
"G491BT 95 8";"";"INVESCO LTD";"PUT";""
"G4939K AA 4";"";"IQIYI INC";"DEBT  3.750%12/0";""
"G4939K AB 2";"";"IQIYI INC";"DEBT  2.000% 4/0";""
"G5005R 10 7";"*";"JAMES RIV GROUP LTD";"COM";""
"G5005R 90 7";"";"JAMES RIV GROUP LTD";"CALL";""
"G5005R 95 7";"";"JAMES RIV GROUP LTD";"PUT";""
"G50871 10 5";"*";"JAZZ PHARMACEUTICALS PLC";"SHS USD";""
"G50871 90 5";"";"JAZZ PHARMACEUTICALS PLC";"CALL";""
"G50871 95 5";"";"JAZZ PHARMACEUTICALS PLC";"PUT";""
"G51502 10 5";"*";"JOHNSON CTLS INTL PLC";"SHS";""
"G51502 90 5";"";"JOHNSON CTLS INTL PLC";"CALL";""
"G51502 95 5";"";"JOHNSON CTLS INTL PLC";"PUT";""
"G5223X 10 0";"";"KAIXIN AUTO HLDGS";"SHS";"ADDED"
"G5269C 10 1";"";"KINIKSA PHARMACEUTICALS LTD";"COM CL A";""
"G54050 10 2";"*";"LAZARD LTD";"SHS A";""
"G54050 90 2";"";"LAZARD LTD";"CALL";""
"G54050 95 2";"";"LAZARD LTD";"PUT";""
"G5463L 10 5";"";"LEO HOLDINGS CORP";"COM CL A";""
"G5463L 11 3";"";"LEO HOLDINGS CORP";"*W EXP 02/07/202";""
"G5463L 12 1";"";"LEO HOLDINGS CORP";"UNIT 99/99/9999";""
